geoid,name,B25070001,"B25070001, Error",B25070002,"B25070002, Error",B25070003,"B25070003, Error",B25070004,"B25070004, Error",B25070005,"B25070005, Error",B25070006,"B25070006, Error",B25070007,"B25070007, Error",B25070008,"B25070008, Error",B25070009,"B25070009, Error",B25070010,"B25070010, Error",B25070011,"B25070011, Error"
06000US3600508510,"Bronx borough, Bronx County, NY",426925,3463,16598,1285,29458,1832,37695,1739,38993,2142,38592,1986,35904,2021,25521,1359,36604,1869,144940,3096,22620,1670
06000US3604710022,"Brooklyn borough, Kings County, NY",712011,4241,37465,1721,60852,2147,81193,2443,80289,2725,74053,2623,58016,2164,41124,2083,55091,2460,190739,3657,33189,1642
06000US3606144919,"Manhattan borough, New York County, NY",583299,5189,38707,2257,57457,2410,67572,2758,66243,2681,59867,2736,51486,2806,31675,1975,42984,2232,141402,3947,25906,1975
06000US3608160323,"Queens borough, Queens County, NY",463708,3917,19741,1392,37895,1869,49728,1764,52506,1986,47046,2031,40343,1787,30998,1730,37796,1706,123161,3155,24494,1398
06000US3608570915,"Staten Island borough, Richmond County, NY",55089,1872,2228,422,5060,771,5515,774,4444,598,4572,700,4619,690,3556,596,4298,588,16185,1157,4612,631
16000US3651000,"New York, NY",2241032,8651,114739,3070,190722,4422,241703,4623,242475,4831,224130,4723,190368,4482,132874,3317,176773,4263,616427,7241,110821,3240
86000US07002,"07002",18468,888,751,213,1417,305,2058,404,2456,376,2757,498,1791,340,1038,291,1257,301,4189,653,754,264
86000US07008,"07008",3727,496,311,250,496,222,272,144,522,200,307,157,546,330,183,112,282,145,636,301,172,121
86000US07020,"07020",4348,454,210,151,314,182,661,259,319,135,372,204,800,355,197,135,258,169,1039,340,178,123
86000US07024,"07024",8136,584,205,98,690,280,878,306,1086,261,1057,245,553,146,469,171,713,193,1963,412,522,219
86000US07030,"07030",18607,802,1319,329,2224,466,2976,396,3264,457,2290,462,1560,345,965,282,871,272,2533,425,605,263
86000US07036,"07036",6873,617,396,179,627,173,960,269,688,196,616,205,442,170,780,285,770,206,1356,297,238,115
86000US07047,"07047",13910,794,523,214,1349,302,1067,295,1300,329,1786,480,1015,311,1102,394,1248,393,3908,584,612,275
86000US07064,"07064",30,29,0,14,0,14,0,14,3,8,0,14,0,14,0,14,0,14,11,19,16,20
86000US07077,"07077",372,177,0,14,0,14,54,85,102,140,55,46,12,19,63,66,0,14,34,27,52,53
86000US07086,"07086",5978,480,429,172,670,194,995,255,797,247,570,221,398,154,639,310,457,233,978,251,45,42
86000US07093,"07093",18882,755,627,202,1477,310,1985,402,2109,430,1844,342,1910,475,1459,382,1403,333,5546,697,522,194
86000US07202,"07202",11098,772,409,168,1036,231,1180,337,1779,451,1326,332,1053,308,641,334,840,264,2420,433,414,156
86000US07206,"07206",7065,603,252,124,491,200,686,228,571,216,854,272,657,323,518,204,610,255,2064,477,362,212
86000US07302,"07302",21905,915,1081,322,3820,605,4261,550,2776,512,2936,488,1472,440,1139,254,892,231,2672,537,856,290
86000US07305,"07305",15701,922,727,279,1111,331,2041,447,1275,366,1060,237,1465,361,881,331,1222,328,4975,620,944,296
