geoid,name,B25001001,"B25001001, Error"
06000US3600508510,"Bronx borough, Bronx County, NY",559415,647
06000US3604710022,"Brooklyn borough, Kings County, NY",1100772,433
06000US3606144919,"Manhattan borough, New York County, NY",923472,742
06000US3608160323,"Queens borough, Queens County, NY",910206,311
06000US3608570915,"Staten Island borough, Richmond County, NY",184621,117
16000US3651000,"New York, NY",3678486,1496
86000US07002,"07002",30786,825
86000US07008,"07008",8747,460
86000US07020,"07020",7872,501
86000US07024,"07024",19659,693
86000US07030,"07030",30259,732
86000US07036,"07036",16925,466
86000US07047,"07047",24959,755
86000US07064,"07064",1144,127
86000US07077,"07077",1291,202
86000US07086,"07086",9563,406
86000US07093,"07093",27212,777
86000US07202,"07202",15926,686
86000US07206,"07206",9872,516
86000US07302,"07302",31029,890
86000US07305,"07305",28018,966
86000US07310,"07310",8587,487
86000US07311,"07311",1132,349
86000US07620,"07620",593,72
86000US07632,"07632",2079,156
86000US07670,"07670",5420,229
86000US08861,"08861",21166,838
86000US10001,"10001",18356,857
86000US10002,"10002",40696,1307
86000US10003,"10003",30413,1034
86000US10004,"10004",2247,421
86000US10005,"10005",6606,568
86000US10006,"10006",2485,312
86000US10007,"10007",3870,552
86000US10009,"10009",32252,1224
86000US10010,"10010",19060,1363
86000US10011,"10011",34845,1433
86000US10012,"10012",14529,880
86000US10013,"10013",15787,1300
86000US10014,"10014",21644,1009
86000US10016,"10016",37219,1682
86000US10017,"10017",12801,953
86000US10018,"10018",5677,445
86000US10019,"10019",33109,1684
86000US10020,"10020",0,14
86000US10021,"10021",30186,1470
86000US10022,"10022",25715,1165
86000US10023,"10023",46860,1714
86000US10024,"10024",36791,1738
86000US10025,"10025",47746,1410
86000US10026,"10026",17853,895
86000US10027,"10027",28507,1097
86000US10028,"10028",30568,1685
86000US10029,"10029",37055,1565
86000US10030,"10030",14827,807
86000US10031,"10031",24305,840
86000US10032,"10032",23292,910
86000US10033,"10033",21607,889
86000US10034,"10034",16551,619
86000US10035,"10035",17188,840
86000US10036,"10036",22746,1366
86000US10037,"10037",10924,624
86000US10038,"10038",12256,819
86000US10039,"10039",14049,731
86000US10040,"10040",17131,772
86000US10044,"10044",5978,501
86000US10065,"10065",22448,992
86000US10069,"10069",3392,626
