geoid,name,B25064001,"B25064001, Error"
05000US36005,"Bronx County, NY",1458,16
05000US36047,"Kings County, NY",1833,9
05000US36081,"Queens County, NY",1956,10
05000US36085,"Richmond County, NY",1733,38
06000US3606144919,"Manhattan borough, New York County, NY",2197,25
16000US3651000,"New York, NY",1821,7
86000US07002,"07002",1682,47
86000US07008,"07008",2032,148
86000US07020,"07020",2579,176
86000US07024,"07024",2273,113
86000US07030,"07030",2938,129
86000US07036,"07036",1668,75
86000US07047,"07047",1781,70
86000US07064,"07064",-666666700,
86000US07077,"07077",1387,60
86000US07086,"07086",2500,313
86000US07093,"07093",1708,47
86000US07202,"07202",1565,65
86000US07206,"07206",1645,93
86000US07302,"07302",3093,88
86000US07305,"07305",1712,56
86000US07310,"07310",3501,
86000US07311,"07311",3501,
86000US07620,"07620",2750,1633
86000US07632,"07632",3501,
86000US07670,"07670",3501,
86000US08861,"08861",1675,61
86000US10001,"10001",3361,268
86000US10002,"10002",1229,70
86000US10003,"10003",3049,229
86000US10004,"10004",3501,
86000US10005,"10005",3501,
86000US10006,"10006",3501,
86000US10007,"10007",3501,
86000US10009,"10009",2006,148
86000US10010,"10010",3326,190
86000US10011,"10011",3050,214
86000US10012,"10012",2895,215
86000US10013,"10013",2598,459
86000US10014,"10014",3123,218
86000US10016,"10016",3433,183
86000US10017,"10017",2925,309
86000US10018,"10018",3501,
86000US10019,"10019",2924,291
86000US10020,"10020",-666666700,
86000US10021,"10021",3067,303
86000US10022,"10022",2985,226
86000US10023,"10023",3239,189
86000US10024,"10024",3041,266
86000US10025,"10025",2084,137
86000US10026,"10026",1657,181
86000US10027,"10027",1531,102
86000US10028,"10028",2825,196
86000US10029,"10029",1247,78
86000US10030,"10030",1282,107
86000US10031,"10031",1769,86
86000US10032,"10032",1603,99
86000US10033,"10033",1726,84
86000US10034,"10034",1629,61
86000US10035,"10035",1326,98
86000US10036,"10036",2358,176
86000US10037,"10037",1445,85
86000US10038,"10038",3189,513
86000US10039,"10039",1200,69
86000US10040,"10040",1685,54
86000US10044,"10044",3327,297
86000US10065,"10065",2907,155
86000US10069,"10069",3501,
86000US10075,"10075",2658,213
86000US10103,"10103",-666666700,
86000US10110,"10110",-666666700,
86000US10111,"10111",-666666700,
86000US10112,"10112",-666666700,
86000US10115,"10115",-666666700,
86000US10119,"10119",-666666700,
86000US10128,"10128",2647,156
86000US10152,"10152",-666666700,
86000US10153,"10153",-666666700,
86000US10154,"10154",-666666700,
86000US10162,"10162",3501,
86000US10165,"10165",-666666700,
86000US10167,"10167",-666666700,
86000US10168,"10168",-666666700,
86000US10169,"10169",-666666700,
86000US10170,"10170",-666666700,
86000US10171,"10171",-666666700,
86000US10172,"10172",-666666700,
86000US10173,"10173",-666666700,
86000US10174,"10174",-666666700,
86000US10177,"10177",-666666700,
86000US10199,"10199",-666666700,
86000US10271,"10271",-666666700,
86000US10278,"10278",-666666700,
86000US10279,"10279",3501,
86000US10280,"10280",3501,
86000US10282,"10282",3501,
86000US10301,"10301",1701,64
86000US10302,"10302",1800,104
86000US10303,"10303",1596,183
86000US10304,"10304",1500,120
86000US10305,"10305",1667,97
86000US10306,"10306",1842,93
86000US10307,"10307",1821,272
86000US10308,"10308",1886,252
86000US10309,"10309",1893,315
86000US10310,"10310",1680,104
86000US10311,"10311",-666666700,
86000US10312,"10312",1937,150
86000US10314,"10314",1802,103
86000US10451,"10451",1330,47
86000US10452,"10452",1419,38
86000US10453,"10453",1420,56
86000US10454,"10454",1028,144
86000US10455,"10455",1136,89
86000US10456,"10456",1174,47
86000US10457,"10457",1382,43
