geoid,name,B19013001,"B19013001, Error"
05000US36005,"Bronx County, NY",48676,895
05000US36047,"Kings County, NY",80263,946
05000US36081,"Queens County, NY",86136,875
05000US36085,"Richmond County, NY",98333,2070
06000US3606144919,"Manhattan borough, New York County, NY",103931,1490
16000US3651000,"New York, NY",80483,601
86000US07002,"07002",83887,5237
86000US07008,"07008",97021,15773
86000US07020,"07020",124050,8202
86000US07024,"07024",107396,6987
86000US07030,"07030",180579,10044
86000US07036,"07036",91882,3701
86000US07047,"07047",78911,5140
86000US07064,"07064",133854,24175
86000US07077,"07077",108948,16155
86000US07086,"07086",127763,23389
86000US07093,"07093",73174,5623
86000US07202,"07202",71250,6415
86000US07206,"07206",68420,14640
86000US07302,"07302",175077,11705
86000US07305,"07305",76527,8046
86000US07310,"07310",183464,27644
86000US07311,"07311",202679,139743
86000US07620,"07620",246944,77017
86000US07632,"07632",230611,22045
86000US07670,"07670",208200,17786
86000US08861,"08861",64491,5876
86000US10001,"10001",129852,25244
86000US10002,"10002",48386,4836
86000US10003,"10003",154262,10754
86000US10004,"10004",250001,
86000US10005,"10005",190233,34473
86000US10006,"10006",190170,54768
86000US10007,"10007",250001,
86000US10009,"10009",92876,11571
86000US10010,"10010",144969,26449
86000US10011,"10011",145987,8167
86000US10012,"10012",137106,17854
86000US10013,"10013",161154,43418
86000US10014,"10014",176395,12595
86000US10016,"10016",140381,10348
86000US10017,"10017",136705,25264
86000US10018,"10018",145958,34189
86000US10019,"10019",128559,20899
86000US10020,"10020",-666666700,
86000US10021,"10021",158677,22110
86000US10022,"10022",172026,15809
86000US10023,"10023",159874,14788
86000US10024,"10024",181560,14326
86000US10025,"10025",108940,8662
86000US10026,"10026",81244,9379
86000US10027,"10027",59587,6118
86000US10028,"10028",175121,27619
86000US10029,"10029",38695,5694
86000US10030,"10030",39802,7797
86000US10031,"10031",65283,6167
86000US10032,"10032",56829,5888
86000US10033,"10033",75040,5112
86000US10034,"10034",67754,8899
86000US10035,"10035",45121,4950
86000US10036,"10036",95638,13771
86000US10037,"10037",49153,7783
86000US10038,"10038",105419,18564
86000US10039,"10039",45371,4629
86000US10040,"10040",65516,7579
86000US10044,"10044",103347,16617
86000US10065,"10065",155331,19458
86000US10069,"10069",233636,52737
86000US10075,"10075",155902,23510
86000US10103,"10103",-666666700,
86000US10110,"10110",-666666700,
86000US10111,"10111",-666666700,
86000US10112,"10112",-666666700,
86000US10115,"10115",-666666700,
86000US10119,"10119",-666666700,
86000US10128,"10128",147772,11385
86000US10152,"10152",-666666700,
86000US10153,"10153",-666666700,
86000US10154,"10154",-666666700,
86000US10162,"10162",114139,101432
86000US10165,"10165",-666666700,
86000US10167,"10167",-666666700,
86000US10168,"10168",-666666700,
86000US10169,"10169",-666666700,
86000US10170,"10170",-666666700,
86000US10171,"10171",-666666700,
86000US10172,"10172",-666666700,
86000US10173,"10173",-666666700,
86000US10174,"10174",-666666700,
86000US10177,"10177",-666666700,
86000US10199,"10199",-666666700,
