geoid,name,B01003001,"B01003001, Error"
06000US3600508510,"Bronx borough, Bronx County, NY",1404779,
06000US3604710022,"Brooklyn borough, Kings County, NY",2631580,
06000US3606144919,"Manhattan borough, New York County, NY",1629477,
06000US3608160323,"Queens borough, Queens County, NY",2323052,
06000US3608570915,"Staten Island borough, Richmond County, NY",494956,
16000US3651000,"New York, NY",8483844,
86000US07002,"07002",71553,58
86000US07008,"07008",25526,68
86000US07020,"07020",14759,25
86000US07024,"07024",40024,100
86000US07030,"07030",58668,56
86000US07036,"07036",45671,205
86000US07047,"07047",61250,56
86000US07064,"07064",3481,634
86000US07077,"07077",3248,540
86000US07086,"07086",17295,61
86000US07093,"07093",63758,60
86000US07202,"07202",44968,2470
86000US07206,"07206",31930,1833
86000US07302,"07302",56220,2112
86000US07305,"07305",72161,2650
86000US07310,"07310",16015,1101
86000US07311,"07311",1714,661
86000US07620,"07620",1588,246
86000US07632,"07632",5362,27
86000US07670,"07670",15319,32
86000US08861,"08861",59351,947
86000US10001,"10001",30511,1797
86000US10002,"10002",76873,3494
86000US10003,"10003",53560,2107
86000US10004,"10004",3711,909
86000US10005,"10005",9439,1107
86000US10006,"10006",4096,796
86000US10007,"10007",7406,1151
86000US10009,"10009",60209,3423
86000US10010,"10010",30702,2567
86000US10011,"10011",48277,2621
86000US10012,"10012",21426,1506
86000US10013,"10013",27219,1966
86000US10014,"10014",29230,1737
86000US10016,"10016",52971,2942
86000US10017,"10017",15297,1695
86000US10018,"10018",8559,1139
86000US10019,"10019",44942,2734
86000US10020,"10020",0,14
86000US10021,"10021",39868,2869
86000US10022,"10022",34049,2867
86000US10023,"10023",69455,3095
86000US10024,"10024",63115,4275
86000US10025,"10025",93065,4601
86000US10026,"10026",37123,2574
86000US10027,"10027",63885,3153
86000US10028,"10028",49077,3329
86000US10029,"10029",77447,3887
86000US10030,"10030",29297,2352
86000US10031,"10031",61058,3098
86000US10032,"10032",55610,2915
86000US10033,"10033",54838,3412
86000US10034,"10034",37758,3147
86000US10035,"10035",38862,2243
86000US10036,"10036",31036,2192
86000US10037,"10037",19031,1693
86000US10038,"10038",22235,2453
86000US10039,"10039",32492,2465
86000US10040,"10040",40096,3043
86000US10044,"10044",11520,992
86000US10065,"10065",30808,2221
86000US10069,"10069",6509,1758
86000US10075,"10075",21897,2532
86000US10103,"10103",0,14
86000US10110,"10110",0,14
86000US10111,"10111",0,14
86000US10112,"10112",0,14
86000US10115,"10115",0,14
86000US10119,"10119",0,14
86000US10128,"10128",57976,3236
86000US10152,"10152",7,12
86000US10153,"10153",0,14
86000US10154,"10154",0,14
86000US10162,"10162",1603,691
86000US10165,"10165",0,14
86000US10167,"10167",0,14
86000US10168,"10168",0,14
86000US10169,"10169",0,14
86000US10170,"10170",0,14
86000US10171,"10171",0,14
86000US10172,"10172",0,14
86000US10173,"10173",0,14
86000US10174,"10174",0,14
86000US10177,"10177",0,14
86000US10199,"10199",0,14
86000US10271,"10271",0,14
86000US10278,"10278",0,14
86000US10279,"10279",259,263
86000US10280,"10280",8933,1579
86000US10282,"10282",5887,1028
86000US10301,"10301",41052,2237
86000US10302,"10302",19030,1956
86000US10303,"10303",26497,1850
86000US10304,"10304",45658,2387
86000US10305,"10305",41270,2118
86000US10306,"10306",57428,3061
86000US10307,"10307",15512,1452
86000US10308,"10308",30568,2183
86000US10309,"10309",34885,2320
86000US10310,"10310",25672,1824
86000US10311,"10311",0,14
86000US10312,"10312",63469,2359
86000US10314,"10314",93915,3209
86000US10451,"10451",50942,2792
86000US10452,"10452",75682,3605
86000US10453,"10453",76282,3350
86000US10454,"10454",39570,2157
86000US10455,"10455",44801,3458
86000US10456,"10456",87533,4170
86000US10457,"10457",79543,3888
86000US10458,"10458",74898,3716
86000US10459,"10459",48270,2809
86000US10460,"10460",59396,2863
86000US10461,"10461",52012,2015
86000US10462,"10462",76320,3175
86000US10463,"10463",69470,3020
86000US10464,"10464",3828,753
86000US10465,"10465",45404,2165
86000US10466,"10466",71116,3626
86000US10467,"10467",96421,3574
86000US10468,"10468",75557,3861
86000US10469,"10469",68521,3103
86000US10470,"10470",16004,1277
86000US10471,"10471",23798,1414
86000US10472,"10472",64011,2926
86000US10473,"10473",58855,2836
86000US10474,"10474",11270,1375
86000US10475,"10475",42578,3278
86000US10550,"10550",38972,1955
86000US10704,"10704",31921,2048
86000US10705,"10705",38887,2360
86000US10803,"10803",13072,179
86000US10805,"10805",20903,1582
86000US11001,"11001",25493,969
86000US11003,"11003",45174,2759
86000US11004,"11004",13615,1533
86000US11005,"11005",2174,444
86000US11020,"11020",5676,765
86000US11021,"11021",19783,879
86000US11040,"11040",41988,1758
86000US11042,"11042",141,4
86000US11096,"11096",10428,1269
86000US11101,"11101",42219,2438
86000US11102,"11102",28503,1578
86000US11103,"11103",35163,2055
86000US11104,"11104",26132,1653
86000US11105,"11105",37936,1913
86000US11106,"11106",40930,2611
86000US11109,"11109",7948,1164
86000US11201,"11201",70674,2680
86000US11203,"11203",74817,2639
86000US11204,"11204",79800,3496
86000US11205,"11205",51676,2782
86000US11206,"11206",93020,3492
86000US11207,"11207",93198,3245
86000US11208,"11208",105428,4174
86000US11209,"11209",71004,2166
86000US11210,"11210",57915,2959
86000US11211,"11211",65314,3782
86000US11212,"11212",89020,4448
86000US11213,"11213",68846,2896
86000US11214,"11214",89397,3338
86000US11215,"11215",70441,2880
86000US11216,"11216",60685,2440
86000US11217,"11217",43490,1913
86000US11218,"11218",72042,3495
86000US11219,"11219",94196,4146
86000US11220,"11220",90652,3714
86000US11221,"11221",91588,3840
86000US11222,"11222",42853,1668
86000US11223,"11223",78093,3107
86000US11224,"11224",50822,3180
86000US11225,"11225",58158,3040
86000US11226,"11226",95144,4401
86000US11228,"11228",42241,1991
86000US11229,"11229",78377,2683
86000US11230,"11230",86978,3265
86000US11231,"11231",38276,2310
86000US11232,"11232",27816,1850
86000US11233,"11233",81822,2906
86000US11234,"11234",83187,2677
86000US11235,"11235",78558,2632
86000US11236,"11236",88051,2953
86000US11237,"11237",45334,2400
86000US11238,"11238",58345,2167
86000US11239,"11239",16410,1562
86000US11249,"11249",47728,3149
86000US11354,"11354",53028,2494
86000US11355,"11355",80801,3658
86000US11356,"11356",25824,2473
86000US11357,"11357",43346,2411
86000US11358,"11358",37665,1996
86000US11359,"11359",0,14
86000US11360,"11360",19469,2067
