geoid,name,B25034001,"B25034001, Error",B25034002,"B25034002, Error",B25034003,"B25034003, Error",B25034004,"B25034004, Error",B25034005,"B25034005, Error",B25034006,"B25034006, Error",B25034007,"B25034007, Error",B25034008,"B25034008, Error",B25034009,"B25034009, Error",B25034010,"B25034010, Error",B25034011,"B25034011, Error"
06000US3600508510,"Bronx borough, Bronx County, NY",559415,647,4712,680,34891,1821,34432,2047,23907,1715,25475,1626,47939,2181,74371,2327,71994,2714,55263,2540,186431,3448
06000US3604710022,"Brooklyn borough, Kings County, NY",1100772,433,11355,819,80847,2305,60579,2293,30733,1628,35547,1607,55203,1720,105003,2774,113451,3049,90305,2131,517749,4570
06000US3606144919,"Manhattan borough, New York County, NY",923472,742,4242,648,51551,2393,56191,2777,31126,1975,58621,2217,69767,2692,116832,3478,80417,2711,58675,2397,396050,4686
06000US3608160323,"Queens borough, Queens County, NY",910206,311,6062,534,47469,1618,40537,1583,27290,1503,37141,1734,57419,2080,119410,2800,177046,3167,125195,2723,272637,3470
06000US3608570915,"Staten Island borough, Richmond County, NY",184621,117,918,283,9076,866,16844,983,18833,1090,28606,1170,28669,1598,24087,1201,17344,1238,7861,668,32383,1508
16000US3651000,"New York, NY",3678486,1496,27289,1327,223834,4399,208583,4997,131889,3906,185390,4013,258997,4156,439703,5691,460252,5831,337299,5509,1405250,8156
86000US07002,"07002",30786,825,535,219,1883,418,1717,362,848,246,1616,345,3108,455,3504,491,3601,503,2849,587,11125,742
86000US07008,"07008",8747,460,101,91,594,255,1073,386,159,94,602,281,504,148,1370,294,2371,392,676,292,1297,255
86000US07020,"07020",7872,501,9,33,1064,333,1970,376,1181,309,1254,310,506,221,479,233,202,123,358,174,849,412
86000US07024,"07024",19659,693,324,152,1675,285,886,253,1279,342,2657,420,3212,437,3944,483,3396,514,1318,293,968,222
86000US07030,"07030",30259,732,243,140,3070,406,6671,628,2359,406,2237,400,1798,311,1612,326,1475,325,1050,252,9744,785
86000US07036,"07036",16925,466,92,76,756,261,765,186,729,253,1605,343,1355,289,1729,345,3879,461,2789,344,3226,461
86000US07047,"07047",24959,755,128,91,1266,334,1257,349,1493,352,2057,422,3393,637,3304,494,2492,436,2208,396,7361,639
86000US07064,"07064",1144,127,0,14,75,61,10,14,57,47,105,60,37,39,361,72,267,95,81,56,151,79
86000US07077,"07077",1291,202,0,14,47,39,19,21,189,134,124,73,77,56,182,84,175,103,82,46,396,203
86000US07086,"07086",9563,406,437,173,2268,413,678,215,394,132,439,190,421,172,280,90,476,253,542,160,3628,405
86000US07093,"07093",27212,777,163,85,2390,455,3079,523,1893,337,2306,490,3357,527,3378,486,2542,537,2444,450,5660,799
86000US07202,"07202",15926,686,141,124,1283,300,904,270,619,210,437,167,1445,423,2001,343,2598,470,2552,425,3946,524
86000US07206,"07206",9872,516,18,28,723,207,1900,417,540,282,568,184,446,223,633,230,757,243,1722,433,2565,415
86000US07302,"07302",31029,890,1028,233,8486,743,6250,740,1791,452,1799,346,1506,285,1428,343,1079,256,635,202,7027,583
86000US07305,"07305",28018,966,191,107,2012,440,3019,550,3011,493,2418,537,1577,343,2728,453,3566,503,2314,470,7182,725
86000US07310,"07310",8587,487,256,130,3041,430,1975,335,1224,303,1578,400,181,119,41,58,14,26,37,40,240,148
86000US07311,"07311",1132,349,0,14,808,298,41,47,240,174,0,14,20,26,0,14,0,14,0,14,23,37
86000US07620,"07620",593,72,4,5,37,17,69,26,41,19,180,61,50,22,118,45,30,16,21,21,43,24
86000US07632,"07632",2079,156,74,91,117,63,282,100,82,60,272,119,150,91,481,150,484,151,44,46,93,55
86000US07670,"07670",5420,229,117,63,524,182,336,161,340,116,407,177,348,142,371,130,1215,250,431,163,1331,282
86000US08861,"08861",21166,838,313,170,1438,377,2012,436,1387,354,1176,323,1985,386,2234,424,2306,502,2072,593,6243,765
86000US10001,"10001",18356,857,280,166,5049,525,2404,422,296,182,590,236,423,206,3290,480,553,288,508,236,4963,612
86000US10002,"10002",40696,1307,403,178,1940,387,1590,323,1313,357,2373,921,3566,583,4822,636,6003,765,2838,497,15848,1239
86000US10003,"10003",30413,1034,50,64,683,170,989,249,558,196,1555,334,1560,330,4611,587,2456,395,1425,400,16526,996
86000US10004,"10004",2247,421,0,14,221,205,421,232,44,42,115,48,18,26,33,29,5,7,6,8,1384,346
86000US10005,"10005",6606,568,0,19,161,138,841,314,601,360,125,135,515,269,393,217,339,250,218,222,3413,548
86000US10006,"10006",2485,312,0,14,224,172,76,76,26,42,42,51,26,42,22,34,126,133,56,57,1887,328
86000US10007,"10007",3870,552,13,23,268,134,1352,361,385,190,521,240,61,65,62,58,124,113,0,19,1084,377
86000US10009,"10009",32252,1224,21,12,1562,427,1177,300,958,309,1331,378,1602,413,3300,580,2430,522,8701,861,11170,902
86000US10010,"10010",19060,1363,0,29,1145,408,1085,318,320,176,1065,303,2786,487,2466,753,1079,357,2592,427,6522,828
86000US10011,"10011",34845,1433,99,88,1824,570,3109,540,1045,342,965,245,1751,428,4815,735,2004,411,992,299,18241,1087
86000US10012,"10012",14529,880,52,63,353,177,531,204,373,172,713,225,686,263,1216,274,799,232,268,113,9538,980
86000US10013,"10013",15787,1300,12,23,1536,594,1392,311,389,132,479,273,830,291,467,223,151,104,218,109,10313,1120
86000US10014,"10014",21644,1009,136,60,383,175,813,247,165,122,1225,355,710,215,1906,428,827,232,761,237,14718,911
86000US10016,"10016",37219,1682,203,184,3227,630,2240,417,1772,557,5702,839,4207,741,6044,1143,2458,487,1833,369,9533,993
86000US10017,"10017",12801,953,36,57,988,440,869,313,144,87,1609,472,490,211,2236,583,1216,432,404,203,4809,695
86000US10018,"10018",5677,445,89,81,1980,395,1422,295,126,76,125,87,3,5,264,158,110,108,71,50,1487,405
86000US10019,"10019",33109,1684,39,52,3610,434,3674,839,2575,789,3753,721,2667,549,3679,951,1686,564,2087,487,9339,1101
86000US10020,"10020",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
