geoid,name,B25002001,"B25002001, Error",B25002002,"B25002002, Error",B25002003,"B25002003, Error"
06000US3600508510,"Bronx borough, Bronx County, NY",559415,647,534100,1505,25315,1376
06000US3604710022,"Brooklyn borough, Kings County, NY",1100772,433,1009927,2338,90845,2398
06000US3606144919,"Manhattan borough, New York County, NY",923472,742,778281,4924,145191,4821
06000US3608160323,"Queens borough, Queens County, NY",910206,311,841003,2217,69203,2215
06000US3608570915,"Staten Island borough, Richmond County, NY",184621,117,170777,1007,13844,972
16000US3651000,"New York, NY",3678486,1496,3334088,7060,344398,6931
86000US07002,"07002",30786,825,28951,793,1835,335
86000US07008,"07008",8747,460,8230,375,517,279
86000US07020,"07020",7872,501,7217,444,655,311
86000US07024,"07024",19659,693,18267,638,1392,362
86000US07030,"07030",30259,732,28088,606,2171,502
86000US07036,"07036",16925,466,16239,489,686,208
86000US07047,"07047",24959,755,23804,837,1155,312
86000US07064,"07064",1144,127,1101,140,43,51
86000US07077,"07077",1291,202,1291,202,0,14
86000US07086,"07086",9563,406,8588,393,975,267
86000US07093,"07093",27212,777,25656,724,1556,395
86000US07202,"07202",15926,686,15451,700,475,170
86000US07206,"07206",9872,516,9308,524,564,186
86000US07302,"07302",31029,890,28824,940,2205,446
86000US07305,"07305",28018,966,26177,958,1841,397
86000US07310,"07310",8587,487,7822,511,765,339
86000US07311,"07311",1132,349,1054,332,78,128
86000US07620,"07620",593,72,522,72,71,38
86000US07632,"07632",2079,156,2010,135,69,66
86000US07670,"07670",5420,229,5227,229,193,125
86000US08861,"08861",21166,838,20596,814,570,182
86000US10001,"10001",18356,857,15737,823,2619,559
86000US10002,"10002",40696,1307,36556,1448,4140,775
86000US10003,"10003",30413,1034,24503,998,5910,877
86000US10004,"10004",2247,421,1865,397,382,229
86000US10005,"10005",6606,568,5248,544,1358,422
86000US10006,"10006",2485,312,2149,315,336,195
86000US10007,"10007",3870,552,3344,528,526,271
86000US10009,"10009",32252,1224,30082,1389,2170,700
86000US10010,"10010",19060,1363,15632,1351,3428,763
86000US10011,"10011",34845,1433,27802,1476,7043,1006
86000US10012,"10012",14529,880,11901,900,2628,519
86000US10013,"10013",15787,1300,12230,1278,3557,676
86000US10014,"10014",21644,1009,17218,907,4426,799
86000US10016,"10016",37219,1682,30235,1651,6984,931
86000US10017,"10017",12801,953,9683,1042,3118,758
86000US10018,"10018",5677,445,4783,469,894,273
86000US10019,"10019",33109,1684,26682,1753,6427,917
86000US10020,"10020",0,14,0,14,0,14
86000US10021,"10021",30186,1470,20953,1419,9233,1299
86000US10022,"10022",25715,1165,18804,1269,6911,951
86000US10023,"10023",46860,1714,37708,1940,9152,1142
86000US10024,"10024",36791,1738,30120,1739,6671,994
