geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
06000US3600508510,"Bronx borough, Bronx County, NY",534100,1505,107175,3086,426925,3463
06000US3604710022,"Brooklyn borough, Kings County, NY",1009927,2338,297916,3852,712011,4241
06000US3606144919,"Manhattan borough, New York County, NY",778281,4924,194982,4276,583299,5189
06000US3608160323,"Queens borough, Queens County, NY",841003,2217,377295,4046,463708,3917
06000US3608570915,"Staten Island borough, Richmond County, NY",170777,1007,115688,2100,55089,1872
16000US3651000,"New York, NY",3334088,7060,1093056,9624,2241032,8651
86000US07002,"07002",28951,793,10483,702,18468,888
86000US07008,"07008",8230,375,4503,468,3727,496
86000US07020,"07020",7217,444,2869,453,4348,454
86000US07024,"07024",18267,638,10131,623,8136,584
86000US07030,"07030",28088,606,9481,630,18607,802
86000US07036,"07036",16239,489,9366,671,6873,617
86000US07047,"07047",23804,837,9894,744,13910,794
86000US07064,"07064",1101,140,1071,143,30,29
86000US07077,"07077",1291,202,919,148,372,177
86000US07086,"07086",8588,393,2610,329,5978,480
86000US07093,"07093",25656,724,6774,536,18882,755
86000US07202,"07202",15451,700,4353,460,11098,772
86000US07206,"07206",9308,524,2243,413,7065,603
86000US07302,"07302",28824,940,6919,657,21905,915
86000US07305,"07305",26177,958,10476,689,15701,922
86000US07310,"07310",7822,511,739,199,7083,507
86000US07311,"07311",1054,332,0,14,1054,332
86000US07620,"07620",522,72,484,72,38,24
86000US07632,"07632",2010,135,1678,165,332,119
86000US07670,"07670",5227,229,3749,321,1478,249
86000US08861,"08861",20596,814,7719,683,12877,812
86000US10001,"10001",15737,823,3798,474,11939,732
86000US10002,"10002",36556,1448,6824,1005,29732,1242
86000US10003,"10003",24503,998,9093,710,15410,826
86000US10004,"10004",1865,397,805,332,1060,283
86000US10005,"10005",5248,544,925,300,4323,517
86000US10006,"10006",2149,315,337,134,1812,292
86000US10007,"10007",3344,528,1018,284,2326,463
86000US10009,"10009",30082,1389,3128,696,26954,1381
86000US10010,"10010",15632,1351,4356,848,11276,1092
86000US10011,"10011",27802,1476,9980,997,17822,1215
86000US10012,"10012",11901,900,2672,343,9229,823
86000US10013,"10013",12230,1278,3682,902,8548,879
86000US10014,"10014",17218,907,5239,590,11979,978
86000US10016,"10016",30235,1651,7584,826,22651,1491
86000US10017,"10017",9683,1042,3081,556,6602,945
86000US10018,"10018",4783,469,529,204,4254,414
86000US10019,"10019",26682,1753,5562,945,21120,1512
86000US10020,"10020",0,14,0,14,0,14
86000US10021,"10021",20953,1419,9374,1075,11579,1066
86000US10022,"10022",18804,1269,9786,949,9018,905
86000US10023,"10023",37708,1940,14354,1415,23354,1508
86000US10024,"10024",30120,1739,11177,962,18943,1530
86000US10025,"10025",41334,1479,12860,1344,28474,1227
86000US10026,"10026",15634,1006,3670,656,11964,886
86000US10027,"10027",24856,1182,4331,585,20525,1112
86000US10028,"10028",26288,1629,10113,1130,16175,1304
86000US10029,"10029",33660,1492,2418,469,31242,1523
86000US10030,"10030",13092,875,1786,442,11306,889
86000US10031,"10031",22499,900,3183,536,19316,1007
86000US10032,"10032",21584,972,1836,302,19748,988
86000US10033,"10033",19973,874,3162,662,16811,833
86000US10034,"10034",15308,716,1781,258,13527,710
86000US10035,"10035",15655,816,1716,313,13939,830
86000US10036,"10036",18991,1382,1988,499,17003,1425
86000US10037,"10037",9982,686,968,280,9014,677
86000US10038,"10038",10162,979,3211,614,6951,820
86000US10039,"10039",12966,808,1771,441,11195,839
86000US10040,"10040",15861,814,2514,361,13347,831
86000US10044,"10044",5175,484,976,209,4199,419
86000US10065,"10065",16188,1026,5852,738,10336,880
86000US10069,"10069",2934,583,834,290,2100,512
86000US10075,"10075",11519,1080,5191,828,6328,845
86000US10103,"10103",0,14,0,14,0,14
86000US10110,"10110",0,14,0,14,0,14
86000US10111,"10111",0,14,0,14,0,14
86000US10112,"10112",0,14,0,14,0,14
86000US10115,"10115",0,14,0,14,0,14
86000US10119,"10119",0,14,0,14,0,14
86000US10128,"10128",30601,1536,9512,716,21089,1459
86000US10152,"10152",4,6,4,6,0,14
86000US10153,"10153",0,14,0,14,0,14
86000US10154,"10154",0,14,0,14,0,14
86000US10162,"10162",751,329,5,13,746,331
86000US10165,"10165",0,14,0,14,0,14
86000US10167,"10167",0,14,0,14,0,14
86000US10168,"10168",0,14,0,14,0,14
86000US10169,"10169",0,14,0,14,0,14
86000US10170,"10170",0,14,0,14,0,14
86000US10171,"10171",0,14,0,14,0,14
86000US10172,"10172",0,14,0,14,0,14
86000US10173,"10173",0,14,0,14,0,14
86000US10174,"10174",0,14,0,14,0,14
86000US10177,"10177",0,14,0,14,0,14
86000US10199,"10199",0,14,0,14,0,14
86000US10271,"10271",0,14,0,14,0,14
86000US10278,"10278",0,14,0,14,0,14
86000US10279,"10279",84,75,0,14,84,75
86000US10280,"10280",4237,778,1457,466,2780,622
86000US10282,"10282",2353,415,249,153,2104,373
86000US10301,"10301",14584,707,6684,471,7900,618
86000US10302,"10302",6056,554,3334,451,2722,451
86000US10303,"10303",8778,481,5725,446,3053,408
86000US10304,"10304",15738,811,7750,768,7988,617
86000US10305,"10305",15774,833,10237,813,5537,556
86000US10306,"10306",20073,850,13910,751,6163,680
86000US10307,"10307",5211,337,4389,374,822,235
86000US10308,"10308",10510,638,8382,585,2128,364
86000US10309,"10309",12222,851,9330,705,2892,768
86000US10310,"10310",8921,587,5306,530,3615,464
86000US10311,"10311",0,14,0,14,0,14
86000US10312,"10312",21549,813,17770,637,3779,641
86000US10314,"10314",31361,807,22871,834,8490,789
86000US10451,"10451",22376,939,3043,585,19333,1048
86000US10452,"10452",28719,926,943,288,27776,953
86000US10453,"10453",28279,976,1357,392,26922,983
86000US10454,"10454",15135,691,1023,333,14112,753
86000US10455,"10455",16587,912,1512,381,15075,1009
86000US10456,"10456",32645,1358,2239,439,30406,1438
86000US10457,"10457",27686,968,1444,387,26242,968
86000US10458,"10458",29112,1165,1213,289,27899,1183
86000US10459,"10459",17982,858,1859,413,16123,921
86000US10460,"10460",22972,869,2154,326,20818,899
86000US10461,"10461",19420,632,5775,502,13645,706
86000US10462,"10462",29723,948,6985,734,22738,992
86000US10463,"10463",29349,1142,10385,697,18964,994
86000US10464,"10464",1949,295,1449,309,500,205
86000US10465,"10465",16372,661,9270,607,7102,625
86000US10466,"10466",24930,1111,9943,894,14987,985
86000US10467,"10467",38372,1074,5462,415,32910,1037
86000US10468,"10468",28453,1476,2424,605,26029,1399
86000US10469,"10469",23582,1030,11950,933,11632,768
86000US10470,"10470",6698,470,2908,340,3790,436
86000US10471,"10471",9331,491,5546,505,3785,498
86000US10472,"10472",22224,706,3646,508,18578,704
86000US10473,"10473",22839,929,6539,662,16300,913
86000US10474,"10474",3899,329,398,207,3501,378
86000US10475,"10475",18821,976,7998,769,10823,972
86000US10550,"10550",14912,817,4203,589,10709,878
86000US10704,"10704",12166,658,7405,549,4761,577
86000US10705,"10705",15044,899,5530,749,9514,704
86000US10803,"10803",4298,237,3395,233,903,166
86000US10805,"10805",8636,573,3977,538,4659,485
86000US11001,"11001",8638,410,7393,438,1245,222
86000US11003,"11003",12036,716,9511,616,2525,558
86000US11004,"11004",5173,419,3735,469,1438,335
86000US11005,"11005",1533,256,1449,246,84,55
86000US11020,"11020",1707,230,1469,195,238,166
86000US11021,"11021",8165,450,5752,472,2413,300
86000US11040,"11040",13916,648,12381,600,1535,350
86000US11042,"11042",0,14,0,14,0,14
86000US11096,"11096",2644,236,1361,246,1283,253
86000US11101,"11101",21165,1125,3226,418,17939,1129
86000US11102,"11102",13937,774,1874,354,12063,695
86000US11103,"11103",16701,788,2703,425,13998,768
86000US11104,"11104",12304,551,2513,413,9791,519
86000US11105,"11105",16200,511,4124,325,12076,551
86000US11106,"11106",19286,715,3198,369,16088,705
86000US11109,"11109",4032,512,751,418,3281,331
86000US11201,"11201",34022,1073,12212,766,21810,1122
86000US11203,"11203",29238,846,11573,656,17665,848
86000US11204,"11204",24896,1175,8599,724,16297,996
86000US11205,"11205",17962,703,5054,653,12908,629
86000US11206,"11206",34813,1067,3858,448,30955,1020
86000US11207,"11207",35658,1067,9253,773,26405,1076
86000US11208,"11208",34395,1169,8559,821,25836,1231
86000US11209,"11209",30410,849,10997,547,19413,807
86000US11210,"11210",20723,846,9161,746,11562,851
86000US11211,"11211",28139,1150,4847,481,23292,1141
86000US11212,"11212",33052,1225,4347,537,28705,1254
86000US11213,"11213",27360,952,4589,502,22771,1047
86000US11214,"11214",30852,842,10679,631,20173,802
86000US11215,"11215",29788,1314,12601,883,17187,965
86000US11216,"11216",27134,918,5782,646,21352,989
86000US11217,"11217",20307,735,5636,627,14671,770
86000US11218,"11218",25661,1195,10005,1000,15656,980
86000US11219,"11219",24507,766,6133,549,18374,738
86000US11220,"11220",28420,983,7584,523,20836,946
86000US11221,"11221",36532,1309,7736,771,28796,1312
86000US11222,"11222",21316,712,3864,380,17452,741
86000US11223,"11223",26478,870,9548,722,16930,688
86000US11224,"11224",20478,879,5592,742,14886,791
86000US11225,"11225",25014,857,4929,634,20085,908
86000US11226,"11226",38130,1344,5334,521,32796,1332
86000US11228,"11228",15007,781,8374,581,6633,634
86000US11229,"11229",30523,886,14312,772,16211,803
86000US11230,"11230",31947,999,9083,716,22864,897
86000US11231,"11231",16783,776,5118,584,11665,667
86000US11232,"11232",9309,656,2484,316,6825,678
86000US11233,"11233",32948,1051,7815,759,25133,1194
86000US11234,"11234",29799,910,20361,880,9438,706
86000US11235,"11235",34870,959,12143,700,22727,955
86000US11236,"11236",31033,783,16019,725,15014,821
86000US11237,"11237",18228,801,2217,367,16011,840
86000US11238,"11238",27919,811,7730,670,20189,805
86000US11239,"11239",8244,616,757,236,7487,640
86000US11249,"11249",17982,761,2981,421,15001,864
86000US11354,"11354",21846,1029,9262,769,12584,966
86000US11355,"11355",31078,1187,10388,836,20690,1181
86000US11356,"11356",8171,603,4070,534,4101,457
86000US11357,"11357",15962,795,12385,621,3577,569
86000US11358,"11358",13430,659,7836,592,5594,536
86000US11359,"11359",0,14,0,14,0,14
86000US11360,"11360",8974,626,6854,615,2120,366
86000US11361,"11361",11234,592,6620,602,4614,342
86000US11362,"11362",7223,550,5423,420,1800,478
86000US11363,"11363",2865,265,2096,219,769,212
86000US11364,"11364",13581,664,9588,546,3993,505
86000US11365,"11365",16384,933,7605,879,8779,695
86000US11366,"11366",4700,492,3406,333,1294,351
86000US11367,"11367",14458,610,7297,640,7161,622
86000US11368,"11368",30079,953,6935,647,23144,1007
86000US11369,"11369",11066,659,5624,568,5442,548
86000US11370,"11370",9436,606,4386,543,5050,638
86000US11371,"11371",0,14,0,14,0,14
86000US11372,"11372",25399,1045,9311,704,16088,1023
86000US11373,"11373",32577,1162,8693,823,23884,1040
86000US11374,"11374",19625,934,8208,758,11417,766
86000US11375,"11375",34061,1097,17206,992,16855,784
86000US11377,"11377",33612,1168,9907,794,23705,1186
86000US11378,"11378",12890,632,7137,544,5753,471
86000US11379,"11379",14090,614,8464,610,5626,530
86000US11385,"11385",37778,1104,11585,710,26193,1032
86000US11411,"11411",6632,386,5616,320,1016,210
86000US11412,"11412",12127,528,8705,454,3422,421
86000US11413,"11413",14014,647,10321,623,3693,471
86000US11414,"11414",11346,730,8290,747,3056,421
86000US11415,"11415",9085,437,4042,533,5043,480
86000US11416,"11416",7535,492,3671,448,3864,381
86000US11417,"11417",9505,499,5537,509,3968,396
86000US11418,"11418",11643,666,5612,519,6031,626
86000US11419,"11419",13300,748,8216,686,5084,605
86000US11420,"11420",14001,591,10092,524,3909,458
86000US11421,"11421",12112,639,6638,536,5474,568
86000US11422,"11422",10325,525,6995,439,3330,502
86000US11423,"11423",9623,688,5361,516,4262,532
86000US11424,"11424",0,14,0,14,0,14
